epoch,step,train/loss_epoch,train/loss_step,val/ade_ft,val/fde_ft,val/loss,val/mse_ft
0,4,,2.6163296699523926,,,,
0,9,,1.8179876804351807,,,,
0,14,,1.7394487857818604,,,,
0,19,,1.6351640224456787,,,,
0,24,,1.1075072288513184,,,,
0,29,,1.1162480115890503,,,,
0,34,,1.197045922279358,,,,
0,39,,1.2373812198638916,,,,
0,44,,1.0341253280639648,,,,
0,49,,0.9700508713722229,,,,
0,54,,0.850322425365448,,,,
0,59,,1.0242419242858887,,,,
0,64,,0.7699793577194214,,,,
0,69,,0.8235076069831848,,,,
0,74,,0.8570199012756348,,,,
0,79,,0.7590782642364502,,,,
0,84,,0.7638584971427917,,,,
0,89,,0.7659982442855835,,,,
0,94,,0.4306448996067047,,,,
0,99,,0.8651013970375061,,,,
0,104,,0.7291831970214844,,,,
0,109,,0.7258813381195068,,,,
0,114,,0.8445120453834534,,,,
0,119,,0.7056825160980225,,,,
0,124,,0.7076990604400635,,,,
0,129,,0.6085501313209534,,,,
0,134,,0.6218767762184143,,,,
0,139,,0.9385141134262085,,,,
0,144,,0.7319488525390625,,,,
0,149,,0.607568621635437,,,,
0,154,,0.7548588514328003,,,,
0,159,,0.5393935441970825,,,,
0,164,,0.487204909324646,,,,
0,169,,0.2965988218784332,,,,
0,174,,0.5947489142417908,,,,
0,179,,0.6462114453315735,,,,
0,184,,0.44472992420196533,,,,
0,189,,0.5454442501068115,,,,
0,194,,0.39289039373397827,,,,
0,199,,0.48814857006073,,,,
0,204,,0.5356266498565674,,,,
0,209,,0.3746708631515503,,,,
0,214,,0.4616655707359314,,,,
0,219,,0.48131662607192993,,,,
0,224,,0.4052239656448364,,,,
0,229,,0.3978009819984436,,,,
0,234,,0.4537965655326843,,,,
0,239,,0.5586631894111633,,,,
0,244,,0.6500458717346191,,,,
0,249,,0.469475656747818,,,,
0,254,,0.7372344732284546,,,,
0,259,,0.42601579427719116,,,,
0,264,,0.5446435213088989,,,,
0,269,,0.42648884654045105,,,,
0,274,,0.34823089838027954,,,,
0,279,,0.36171814799308777,,,,
0,279,,,1.2609376907348633,2.831054925918579,0.38701003789901733,4.863555431365967
0,279,0.7822442650794983,,,,,
1,284,,0.5224295854568481,,,,
1,289,,0.6778870820999146,,,,
1,294,,0.30111533403396606,,,,
1,299,,0.26971831917762756,,,,
1,304,,0.4806031584739685,,,,
1,309,,0.3385419547557831,,,,
1,314,,0.3941003978252411,,,,
1,319,,0.409626305103302,,,,
1,324,,0.5842167139053345,,,,
1,329,,0.45767098665237427,,,,
1,334,,0.41827157139778137,,,,
1,339,,0.33335447311401367,,,,
1,344,,0.4249722361564636,,,,
1,349,,0.4068077504634857,,,,
1,354,,0.21925362944602966,,,,
1,359,,0.2705741226673126,,,,
1,364,,0.5024693608283997,,,,
1,369,,0.3101755976676941,,,,
1,374,,0.2762749195098877,,,,
1,379,,0.30307239294052124,,,,
1,384,,0.1532837152481079,,,,
1,389,,0.25217220187187195,,,,
1,394,,0.4044681787490845,,,,
1,399,,0.35027092695236206,,,,
1,404,,0.43654853105545044,,,,
1,409,,0.20155897736549377,,,,
1,414,,0.5082399249076843,,,,
1,419,,0.07367364317178726,,,,
1,424,,0.26520609855651855,,,,
1,429,,0.3342839777469635,,,,
